median,lower_90,lower_50,upper_50,upper_90,region,source,model
0.9233542253567134,0.8778353240528689,0.9042091696574025,0.9428885566492077,0.9758878972660563,South West,cases,Single breakpoint
0.7487891915140124,0.7105149526116056,0.7331576791157276,0.7640623000403194,0.7872278846215941,Wales,cases,Single breakpoint
0.9524385917769181,0.8840220294739437,0.9240628478014699,0.9801715238506692,1.0078505950684367,Northern Ireland,cases,Single breakpoint
0.9588006237192722,0.8858005839672808,0.9283064436707124,0.9898371169050552,1.0113200792217072,South West,admissions,Single breakpoint
0.8330777604059764,0.7754894526351238,0.8081312874931733,0.8582874928557461,0.9014095916979128,Wales,admissions,Single breakpoint
0.867634308649293,0.6785115315905804,0.7827886808292687,0.9582809496337298,1.017549416543386,Northern Ireland,admissions,Single breakpoint
0.914994283916579,0.6377153582166352,0.8021900541876166,0.9881887039575947,1.0391126302648428,South West,deaths,Single breakpoint
0.8641564829384872,0.5543738477411324,0.7322382847550414,0.9697162924415725,1.0321604525010009,Wales,deaths,Single breakpoint
0.917634279406871,0.6463633222598836,0.8055687454937439,0.988119171845577,1.0419348489310452,Northern Ireland,deaths,Single breakpoint
0.9461620902443487,0.8682042610412312,0.9167347454854726,0.9746306856215085,1.0203806256831176,South West,cases,Random walk + breakpoint
0.7449187544778052,0.6680275679571072,0.7115761408293383,0.7800766643440347,0.8361699772994698,Wales,cases,Random walk + breakpoint
0.9527630840549092,0.883698298406802,0.9235403582311267,0.9819394760489675,1.007966423143601,Northern Ireland,cases,Random walk + breakpoint
0.9759865251526795,0.8692675401007649,0.9383719507173172,0.9984369722977132,1.0274644637020394,South West,admissions,Random walk + breakpoint
0.8698984372631087,0.7556185949449795,0.8249158877691186,0.9128561056196833,0.9729609690032032,Wales,admissions,Random walk + breakpoint
0.8593576308622889,0.6740072211978512,0.7752346662111819,0.9459036623383248,1.0120016832982957,Northern Ireland,admissions,Random walk + breakpoint
0.9410748923717918,0.6897073741367434,0.8535887219714672,0.9994949598844127,1.0706190697616602,South West,deaths,Random walk + breakpoint
0.8865608019955978,0.6124618655251476,0.7833210664293309,0.9721098399887087,1.054890153710753,Wales,deaths,Random walk + breakpoint
0.9104358419460085,0.632878931025991,0.7958670033142036,0.9849434720938275,1.0407423707180534,Northern Ireland,deaths,Random walk + breakpoint
